,month,Airline,Delay,revenue,value,delay_time,flights,Total Delay per 1000 Flights
1,1,Alaska Airlines Inc.,Carrier Delay,3952024,14.7378014854,502.93,13257,37.9369389756
2,1,Alaska Airlines Inc.,NAS Delay,3952024,14.7378014854,705.49,13257,53.21641397
3,1,Alaska Airlines Inc.,Security Delay,3952024,14.7378014854,4.07,13257,0.3070076186
4,1,Alaska Airlines Inc.,Weather Delay,3952024,14.7378014854,85.29,13257,6.4335822584
5,1,American Airlines Inc.,Carrier Delay,24016489,89.5617656316,3062.66,44059,69.512698881
6,1,American Airlines Inc.,NAS Delay,24016489,89.5617656316,2785.03,44059,63.2113756554
7,1,American Airlines Inc.,Security Delay,24016489,89.5617656316,14.62,44059,0.3318277764
8,1,American Airlines Inc.,Weather Delay,24016489,89.5617656316,343.09,44059,7.7870582628
9,1,Delta Air Lines Inc.,Carrier Delay,28217526,105.2281809517,2682.19,64421,41.6353363034
10,1,Delta Air Lines Inc.,NAS Delay,28217526,105.2281809517,2979.62,64421,46.2523090297
11,1,Delta Air Lines Inc.,Security Delay,28217526,105.2281809517,4.52,64421,0.070163456
12,1,Delta Air Lines Inc.,Weather Delay,28217526,105.2281809517,493.61,64421,7.662252992
13,1,Envoy Air,Carrier Delay,662665,5,2219.77,29900,74.2397993311
14,1,Envoy Air,NAS Delay,662665,5,3039.57,29900,101.6578595318
15,1,Envoy Air,Security Delay,662665,5,24.63,29900,0.8237458194
16,1,Envoy Air,Weather Delay,662665,5,659.67,29900,22.062541806
17,1,ExpressJet Airlines Inc.,Carrier Delay,980935,3.6580813528,2994.33,49925,59.9765648473
18,1,ExpressJet Airlines Inc.,NAS Delay,980935,3.6580813528,3888.35,49925,77.8838257386
19,1,ExpressJet Airlines Inc.,Security Delay,980935,3.6580813528,0,49925,0
20,1,ExpressJet Airlines Inc.,Weather Delay,980935,3.6580813528,188.65,49925,3.778668002
21,1,Frontier Airlines Inc.,Carrier Delay,1194437,4.4542683427,467.3,6829,68.4287597013
22,1,Frontier Airlines Inc.,NAS Delay,1194437,4.4542683427,952.86,6829,139.5314101625
23,1,Frontier Airlines Inc.,Security Delay,1194437,4.4542683427,0,6829,0
24,1,Frontier Airlines Inc.,Weather Delay,1194437,4.4542683427,19.06,6829,2.7910382194
25,1,Hawaiian Airlines Inc.,Carrier Delay,2010666,7.4981316818,415.65,6440,64.5419254658
26,1,Hawaiian Airlines Inc.,NAS Delay,2010666,7.4981316818,59,6440,9.1614906832
27,1,Hawaiian Airlines Inc.,Security Delay,2010666,7.4981316818,2.68,6440,0.4161490683
28,1,Hawaiian Airlines Inc.,Weather Delay,2010666,7.4981316818,19.09,6440,2.9642857143
29,1,JetBlue Airways,Carrier Delay,5893119,21.9764905152,1411.83,21623,65.2929750728
30,1,JetBlue Airways,NAS Delay,5893119,21.9764905152,1802.1,21623,83.3418119595
31,1,JetBlue Airways,Security Delay,5893119,21.9764905152,20.04,21623,0.9267909171
32,1,JetBlue Airways,Weather Delay,5893119,21.9764905152,101.31,21623,4.6852888128
33,1,SkyWest Airlines Inc.,Carrier Delay,1875495,6.9940549442,2800.39,48114,58.2032256724
34,1,SkyWest Airlines Inc.,NAS Delay,1875495,6.9940549442,3161.49,48114,65.7083177454
35,1,SkyWest Airlines Inc.,Security Delay,1875495,6.9940549442,19.84,48114,0.4123539926
36,1,SkyWest Airlines Inc.,Weather Delay,1875495,6.9940549442,345.68,48114,7.184603234
37,1,Southwest Airlines Co.,Carrier Delay,18299147,68.2407788612,5950.12,100042,59.4762199876
38,1,Southwest Airlines Co.,NAS Delay,18299147,68.2407788612,3529.18,100042,35.2769836669
39,1,Southwest Airlines Co.,Security Delay,18299147,68.2407788612,22.6,100042,0.2259051198
40,1,Southwest Airlines Co.,Weather Delay,18299147,68.2407788612,378.51,100042,3.7835109254
41,1,Spirit Air Lines,Carrier Delay,1267124,4.7253311137,369.36,8743,42.2463685234
42,1,Spirit Air Lines,NAS Delay,1267124,4.7253311137,1634.32,8743,186.9289717488
43,1,Spirit Air Lines,Security Delay,1267124,4.7253311137,4.84,8743,0.5535857257
44,1,Spirit Air Lines,Weather Delay,1267124,4.7253311137,11.01,8743,1.2592931488
45,1,United Air Lines Inc.,Carrier Delay,26160401,97.556795383,3296.51,38395,85.8577939836
46,1,United Air Lines Inc.,NAS Delay,26160401,97.556795383,2501.08,38395,65.1407735382
47,1,United Air Lines Inc.,Security Delay,26160401,97.556795383,0.8,38395,0.0208360464
48,1,United Air Lines Inc.,Weather Delay,26160401,97.556795383,453.09,38395,11.8007553067
49,1,US Airways Inc.,Carrier Delay,5006129,18.6687468022,1909.24,33489,57.0109588223
50,1,US Airways Inc.,NAS Delay,5006129,18.6687468022,2598.36,33489,77.588461883
51,1,US Airways Inc.,Security Delay,5006129,18.6687468022,25.59,33489,0.7641315059
52,1,US Airways Inc.,Weather Delay,5006129,18.6687468022,90.8,33489,2.7113380513
53,1,Virgin America,Carrier Delay,1340778,5,184.95,4731,39.0932149651
54,1,Virgin America,NAS Delay,1340778,5,242.18,4731,51.1900232509
55,1,Virgin America,Security Delay,1340778,5,3.99,4731,0.843373494
56,1,Virgin America,Weather Delay,1340778,5,122.72,4731,25.9395476643
57,2,Alaska Airlines Inc.,Carrier Delay,3952024,14.7378014854,413.73,12194,33.9289814663
58,2,Alaska Airlines Inc.,NAS Delay,3952024,14.7378014854,618.9,12194,50.7544694112
59,2,Alaska Airlines Inc.,Security Delay,3952024,14.7378014854,5.69,12194,0.4666229293
60,2,Alaska Airlines Inc.,Weather Delay,3952024,14.7378014854,50.18,12194,4.1151385928
61,2,American Airlines Inc.,Carrier Delay,24016489,89.5617656316,2397.71,39835,60.1910380319
62,2,American Airlines Inc.,NAS Delay,24016489,89.5617656316,2852.25,39835,71.6016066273
63,2,American Airlines Inc.,Security Delay,24016489,89.5617656316,12.68,39835,0.3183130413
64,2,American Airlines Inc.,Weather Delay,24016489,89.5617656316,533.15,39835,13.3839588302
65,2,Delta Air Lines Inc.,Carrier Delay,28217526,105.2281809517,3707.44,60884,60.893502398
66,2,Delta Air Lines Inc.,NAS Delay,28217526,105.2281809517,3624.64,60884,59.5335391893
67,2,Delta Air Lines Inc.,Security Delay,28217526,105.2281809517,2.52,60884,0.0413901846
68,2,Delta Air Lines Inc.,Weather Delay,28217526,105.2281809517,950.6,60884,15.613297418
69,2,Envoy Air,Carrier Delay,662665,5,1854.24,26940,68.8285077951
70,2,Envoy Air,NAS Delay,662665,5,2739.85,26940,101.7019302153
71,2,Envoy Air,Security Delay,662665,5,19.69,26940,0.7308834447
72,2,Envoy Air,Weather Delay,662665,5,705.19,26940,26.1763177431
73,2,ExpressJet Airlines Inc.,Carrier Delay,980935,3.6580813528,2913.14,45138,64.5385262971
74,2,ExpressJet Airlines Inc.,NAS Delay,980935,3.6580813528,3547.78,45138,78.5985200939
75,2,ExpressJet Airlines Inc.,Security Delay,980935,3.6580813528,0,45138,0
76,2,ExpressJet Airlines Inc.,Weather Delay,980935,3.6580813528,261.33,45138,5.7895786255
77,2,Frontier Airlines Inc.,Carrier Delay,1194437,4.4542683427,460.21,5809,79.223618523
78,2,Frontier Airlines Inc.,NAS Delay,1194437,4.4542683427,1105.3,5809,190.2737132036
79,2,Frontier Airlines Inc.,Security Delay,1194437,4.4542683427,0,5809,0
80,2,Frontier Airlines Inc.,Weather Delay,1194437,4.4542683427,32.12,5809,5.5293510071
81,2,Hawaiian Airlines Inc.,Carrier Delay,2010666,7.4981316818,465.14,5779,80.4879736979
82,2,Hawaiian Airlines Inc.,NAS Delay,2010666,7.4981316818,32.89,5779,5.691296072
83,2,Hawaiian Airlines Inc.,Security Delay,2010666,7.4981316818,1.31,5779,0.2266828171
84,2,Hawaiian Airlines Inc.,Weather Delay,2010666,7.4981316818,60.2,5779,10.4170271673
85,2,JetBlue Airways,Carrier Delay,5893119,21.9764905152,1961.05,19751,99.288643613
86,2,JetBlue Airways,NAS Delay,5893119,21.9764905152,2095.48,19751,106.0948812718
87,2,JetBlue Airways,Security Delay,5893119,21.9764905152,14.87,19751,0.7528732722
88,2,JetBlue Airways,Weather Delay,5893119,21.9764905152,190.35,19751,9.6374867095
